ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">Methylene chloride on hydrolysis yields:</font></p>",   HCHO   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8778898fa4c7b129.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e3ac6c5b57963e87.gif""/>    ",   None of these    ,,,1 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_50d02aef9b992385.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5ce2235ed28c48ea.gif"" width=""165""/> </p> <p><font face=""Cambria Math, serif"">Product is</font></p>","   <img align=""bottom"" height=""53"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a420b0613acb026f.gif"" width=""97""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4d232e69684d4bb3.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7858188934ac615f.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_944d0ca46554cbad.gif""/>     ",,,2," <p> <font face=""Cambria Math, serif"">When aromatic carboxylic acids are subjected to Birch reduction (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6cb57f4cb018d689.gif""/> <font face=""Cambria Math, serif""> and an alcohol), 1, 4-additional of hydrogen takes place and 1, 4-cyclohexadiene carboxylic acids are produced</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2a4fcb2dc8f1463c.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following compounds does not have a carboxyl group?</font></p>",   Methanoic acid     ,   Ethanoic acid     ,   Picric acid     ,   Benzoic acid      ,,,3 ," <p><font face=""Cambria Math, serif"">Picric acid is 2,4,6-trinitrophenol. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">2,4-dichlorophenoxy acetic acid is used as a:</font></p>",   Fungicide   ,   Insecticide     ,   Herbicide     ,   Moth repellent    ,,,3 ," <p><font face=""Cambria Math, serif"">Herbicides are the substances that kills plants or inhibit their growth. Selective herbicides affect only particular plant types, making it possible to attack weeds growing among cultivated plants.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which one of the following is reduced with zinc and hydrochloric acid to give the corresponding hydrocarbon?</font></p>",   Ethyl acetate   ,   Acetic acid   ,   Acetamide   ,   Butan-2-one    ,,,4 ," <p> <font face=""Cambria Math, serif"">Carbonyl compounds are reduced to corresponding alkanes with (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_519bf6b1bf380f8b.gif""/> <font face=""Cambria Math, serif"">+ conc.</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_496bfdcf64202938.gif""/> <font face=""Cambria Math, serif"">).</font></p> <p> <font face=""Cambria Math, serif"">It is called Clemmensen reduction.</font></p> <p> <font face=""Cambria Math, serif"">O</font></p> <p> <font face=""Cambria Math, serif"">||</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c577f9a25846841d.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">3-pentanol on reaction with aluminium tertiary butoxide in the presence of acetone gives</font></p>",   3-pentanal   ,   2-pentanal   ,   3-pentanone   ,   2-pentanone    ,,,3," <p> <font face=""Cambria Math, serif"">Aluminium tertiary butoxide is an oxidising agent used for the oxidation of secondary alcohols into ketones.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_847795705ffcd512.gif""/> </p> <p> <font face=""Cambria Math, serif"">|</font></p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0a1b4c3eb11df63.gif""/> </p> <p> <font face=""Cambria Math, serif"">3-pentanol</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_42676c38ff0c63ab.gif""/> </p> <p> <font face=""Cambria Math, serif"">|| </font> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c44b3fa9ddbd59.gif""/> </p> <p> <font face=""Cambria Math, serif"">3-pentanone</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Bakelite is obtained from phenol by reacting with:</font></p>",   HCHO   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_15833452144fd86c.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8778898fa4c7b129.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f02846efb73fd494.gif""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The silver salt of a fatty acid on refluxing with an alkyl halide gives an</font></p>",   Acid   ,   Ester   ,   Ether   ,   Amine    ,,,2 ," <p> <font face=""Cambria Math, serif"">The silver salt of fatty acid on refluxing with an alkyl halide, give an ester.</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ea1b84818de820e2.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>ester</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In the reaction, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4c2c5c7691a149e5.gif""/> <font face=""Cambria Math, serif""> is:</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_371916f89f095942.gif""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_dc6e9c5e25b73b21.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc0f68547265dbc3.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0db5c9985b7315c.gif""/>    ",   None of these      ,,,1 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_af29e0e82e96024.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""53"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b11742b7c52db40.gif"" width=""246""/> </p> <p><font face=""Cambria Math, serif"">Product is</font></p>","   <img align=""bottom"" height=""74"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8e197fb46a436ba0.gif"" width=""179""/>    ","   <img align=""bottom"" height=""69"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fd233932101e385d.gif"" width=""175""/>          ","   <img align=""bottom"" height=""64"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_33e0f24f13b7cc6.gif"" width=""132""/>    ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b903a8003e6383bc.gif"" width=""195""/>     ",,,3," <p> <font face=""Cambria Math, serif"">1, 2 diketone undergoes rearrangement to </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e4dc37afee54d6.gif""/> <font face=""Cambria Math, serif"">-hydroxy carboxylic acid in presence of base. This reaction is known as benzilic acid rearrangement</font></p> <p><img align=""bottom"" height=""153"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_338273d3c110b231.gif"" width=""286""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which will give Hofmann bromamide reaction?</font></p>","   <img align=""bottom"" height=""45"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_30fc0ccaf1d8d668.gif"" width=""89""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1918409c90591615.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e981d5620ac32a72.gif""/>    ",   All of these    ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Distillation involves all the following processes except:</font></p>",   Change of state   ,   Boiling     ,   Condensation     ,   Evaporation      ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_82d9c0b6f36e5714.gif"" width=""288""/> </p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_80e3446862beaf4.gif""/> <font face=""Cambria Math, serif"">are</font></p>","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ac601b26b39138ec.gif"" width=""231""/>    ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8c3b736c25960b6c.gif"" width=""231""/>          ","   <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3cfada4d082406e0.gif"" width=""154""/>    ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5eb64feb31c827d6.gif"" width=""144""/>     ",,,2 ," <p> <font face=""Cambria Math, serif"">In the given compound, carbonyl group is reduced to </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_922c7efd8be72966.gif""/> <font face=""Cambria Math, serif""> group by </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_adbb0e6634333352.gif""/> <font face=""Cambria Math, serif""> and it does not affect double bond. The another is hydroboration-oxidation reaction, in which one water molecule is added to double bond</font></p> <p><img align=""bottom"" height=""107"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c0b80a9a8de159d8.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The reaction,</font></p> <p align=""justify""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> <font face=""Cambria Math, serif"">CHO +</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bd5b36e808de6fff.gif""/> <font face=""Cambria Math, serif"">—</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fbbddf50c7b88a03.gif""/> <font face=""Cambria Math, serif"">⟶</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> <font face=""Cambria Math, serif"">CH=N∙</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fbbddf50c7b88a03.gif""/> <font face=""Cambria Math, serif""> is:</font></p>",   Elimination     ,   Addition     ,   Addition-elimination     ,   None of these      ,,,3,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following would undergo aldol condensation?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_44d1b052f9308a14.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_870bde4f6214ec08.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_11c71dc85faefd27.gif""/>    ",   HCHO    ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acetalsehyde reacts with:</font></p>",   Only nucleophiles           ,   Both electrophiles and nucleophiles           ,   Only electrophiles           ,   Only free radicals      ,,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ead61fea0526ef6d.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""43"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c0e074f20ddf8bbd.gif"" width=""285""/> </p> <p><font face=""Cambria Math, serif"">This reaction is called</font></p>",   The Stevens reaction   ,   The carbonylation reactionc         ,   The Koch reaction   ,   Oxidation    ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following statement is correct?</font></p>",   Acidity increases with increase in carbon atoms in carboxylic acids.         ,   Solubility of carboxylic acid increases with increase in carbon atoms.         ,   Boiling points of acids are higher than corresponding alcohols.         ,   None of the above.    ,,,3," <li><p> <font face=""Cambria Math, serif"">Acidity decreases with increase in number of carbon atoms in carboxylic acid.</font></p> </li><li><p> <font face=""Cambria Math, serif"">Solubility of carboxylic acid decrease with increase in number of carbon atoms. Higher acids are insoluble in </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_690cab97289f8f4f.gif""/> <font face=""Cambria Math, serif"">.</font></p> </li><li><p> <font face=""Cambria Math, serif"">Boiling points of acids are higher than corresponding alcohols due to greater extent of hydrogen bonding.</font></p> </li> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_57928a5d7634e0c1.gif""/> <font face=""Cambria Math, serif"">(c) is correct answer.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The best reagent to convert pent-3-en-2-ol into pent-3-en-2-one is</font></p>",   Pyridinium chloro-chromate   ,   Chromic anhydride in glacial acetic acid           ,   Acidic dichromate   ,   Acidic permanganate    ,,,2 ," <p> <img align=""bottom"" height=""96"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d963ba0964757b1d.gif"" width=""260""/> </p> <p><font face=""Cambria Math, serif"">Only suitable reagent is chromic anhydride in glacial acetic acid. Other will also effect (C=C) bond.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
